,COLUMN_NAME,DESCRIPTION,POSSIBLE VALUES,LABELS,START,END,WIDTH,PAGE
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198405,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198406,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198407,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198408,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198409,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198410,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198411,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198412,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198500,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198501,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198502,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198503,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198504,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198505,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198506,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198507,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198508,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198509,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198510,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198511,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198512,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198600,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198601,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198602,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198603,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198604,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198605,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198606,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198607,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198608,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198609,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198610,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198611,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198612,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198700,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198701,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198702,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198703,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198704,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198705,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198706,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198707,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198708,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198709,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198710,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198711,,,,,
,DOBIRTHP ,Student's year and month of birth (YYYYMMDD) ,198712,,,,,
